Date,Title,Location,Performer
2/17/2017,Lightning | Paper Birch,"Harvard University, Cambridge, MA","Ashley Addington, Bennett Parson, Angela Kim"
4/15/2017,tree and synthetic. (breath - stasis ahead one final and forward),"HGNM 2017 concert series, Harvard University, Cambridge, MA",Faint Noise
4/8/2018,Give Sound / Receive Sound,"Vessel Gallery, Cambridge, MA","Brandon Lincoln Snyder, Eden Girma, David Angelo"
5/8/2018,Taste The Rain,"Paine Hall, Harvard University, Cambridge, MA (2018 HYDRA concerts)",Brandon Lincoln Snyder
6/8/2018,Taste The Rain,"Santa Ana, California (studio recording)",Brandon Lincoln Snyder
2/25/2019,Sights and Sounds of Home: an experimental conversation between seeing and hearing in architecture,"Harvard Graduate School of Design, Harvard University, Cambridge, MA",Chantine Akiyama
5/1/2019,*home*,"BAAA Gallery, Cambridge, MA",Chantine Akiyama
7/16/2020,milk bubbles,"Hochschule für Musik und Darstellende Kunst, Computer Controlled Sound Synthesis Seminar",
11/13/2020,Music About Music About Background Music - II,"Hochschule für Musik und Darstellende Kunst Stuttgart, Work_statt Festival","Brandon Lincoln Snyder, Delia Ramos Rodríguez, Alex Waite"
4/1/2021,Kleine Messe,"St. Eberhard Cathedral, Stuttgart",
6/1/2021,Almanac,Hochschule für Musik und Darstellende Kunst Stuttgart,Clemence Martel
8/1/2021,Shepherd,"impuls Festival, Austria",Myself
1/1/2022,Going,"Freiburg, DE",Ensemble Aventure
1/1/2022,brrrr,"Stuttgart, Germany",Tamara Kurkiewicz
4/1/2022,brrrr,"Leonberg, Germany",Tamara Kurkiewicz
5/1/2022,residual – i,"GEDOK, Stuttgart",Amy Williams
5/1/2022,residual – i,"Music On the Point, Vermont",Amy Williams
5/1/2022,Going,"Karlsruhe, DE",Ensemble Aventure
5/1/2022,Kleine Messe,Hochschule für Musik und Darstellende Kunst Stuttgart,
9/1/2022,Fernbeziehung,,
10/1/2022,brrrr,"IRCAM Forum, NYU, New York City",Adriana Harrison
11/1/2022,clack,,Tom Goemare
11/1/2022,Traditional Korean Music - Deep Learning Project,,Uikyung Lee
1/1/2023,Day of Listening,"Carnegie Hall, New York City",
7/1/2023,something,"Browser Sound Festival, Stuttgart",
7/1/2024,Call/Response,"Chicago Arts Coalition, Chicago, IL",
8/1/2024,The Problem(s) of Deer,"House Show, New York City",
9/1/2024,3gloop,Köln Hochschule für Musik,"Alexey Popatov, Dmitry Remesov"
10/1/2024,3gloop,Dresden Hochschule für Musik,"Alexey Popatov, Dmitry Remesov"
10/1/2024,The Problem(s) of Deer,"Unnameable Books, New York City",
1/1/2025,Solo Set at Line Upon Line 2025,Line Upon Line Winter Festival,Myself
3/1/2025,The Problem(s) of Deer,"Microscope Gallery, New York City",
1/1/2026,3gloop,Moscow,Alexey Popatov
3/1/2026,Winter Ceremony (Short Film Score),SXSW Film Festival,
